Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
172,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,319.66,392.74," 16,550 ",,,,,,,,,,,
173,MOB,Mobile Regional,Mobile,AL,382.61,470.09," 15,611 ",,,,,,,,,,,
174,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,318.64,391.50," 14,541 ",,,,,,,,,,,
175,MRY,Monterey Regional,Monterey,CA,343.19,421.65," 14,130 ",,,,,,,,,,,
176,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,290.48,356.90," 14,115 ",,,,,,,,,,,
177,JNU,Juneau International,Juneau,AK,357.07,438.71," 14,056 ",,,,,,,,,,,
178,GJT,Grand Junction Regional,Grand Junction,CO,314.76,386.73," 13,880 ",,,,,,,,,,,
179,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,310.46,381.45," 12,639 ",,,,,,,,,,,
180,MLB,Melbourne Orlando International,Melbourne,FL,261.48,321.26," 12,470 ",,,,,,,,,,,
181,BRO,Brownsville South Padre Island International,Brownsville,TX,304.27,373.83," 12,172 ",,,,,,,,,,,
182,BFL,Meadows Field,Bakersfield,CA,355.30,436.54," 11,994 ",,,,,,,,,,,
183,DRO,Durango La Plata County,Durango,CO,412.08,506.30," 11,912 ",,,,,,,,,,,
184,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,323.55,397.53," 11,747 ",,,,,,,,,,,
185,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,477.78,587.02," 11,153 ",,,,,,,,,,,
186,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,98.38,120.88," 11,114 ",,,,,,,,,,,
187,GTF,Great Falls International,Great Falls,MT,293.21,360.25," 10,663 ",,,,,,,,,,,
