Average Domestic Airline Itinerary Fares By Origin City for Q3 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
174,MOB,Mobile Regional,Mobile,AL,315.07,382.78," 15,611 ",,,,,,,,,,,
175,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,340.00,413.06," 14,541 ",,,,,,,,,,,
176,MRY,Monterey Regional,Monterey,CA,312.36,379.48," 14,130 ",,,,,,,,,,,
177,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,322.56,391.88," 14,115 ",,,,,,,,,,,
178,JNU,Juneau International,Juneau,AK,349.41,424.50," 14,056 ",,,,,,,,,,,
179,GJT,Grand Junction Regional,Grand Junction,CO,330.23,401.20," 13,880 ",,,,,,,,,,,
180,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,339.14,412.02," 12,639 ",,,,,,,,,,,
181,MLB,Melbourne Orlando International,Melbourne,FL,305.49,371.14," 12,470 ",,,,,,,,,,,
182,BRO,Brownsville South Padre Island International,Brownsville,TX,276.73,336.19," 12,172 ",,,,,,,,,,,
183,BFL,Meadows Field,Bakersfield,CA,344.23,418.20," 11,994 ",,,,,,,,,,,
184,DRO,Durango La Plata County,Durango,CO,389.90,473.68," 11,912 ",,,,,,,,,,,
185,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,329.32,400.09," 11,747 ",,,,,,,,,,,
186,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,450.84,547.72," 11,153 ",,,,,,,,,,,
187,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,97.71,118.71," 11,114 ",,,,,,,,,,,
188,GTF,Great Falls International,Great Falls,MT,340.46,413.62," 10,663 ",,,,,,,,,,,
189,EVV,Evansville Regional,Evansville,IN,286.72,348.33," 10,601 ",,,,,,,,,,,
190,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,317.54,385.78," 10,527 ",,,,,,,,,,,
191,MOT,Minot International,Minot,ND,354.89,431.16," 10,415 ",,,,,,,,,,,
192,LCK,Rickenbacker International,Columbus,OH,99.57,120.97," 10,393 ",,,,,,,,,,,
193,MGM,Montgomery Regional,Montgomery,AL,339.87,412.90," 10,260 ",,,,,,,,,,,
194,MTJ,Montrose Regional,Montrose/Delta,CO,374.75,455.28," 10,218 ",,,,,,,,,,,
195,LRD,Laredo International,Laredo,TX,310.88,377.69," 9,858 ",,,,,,,,,,,
196,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,228.59,277.72," 9,540 ",,,,,,,,,,,
197,ORH,Worcester Regional,Worcester,MA,251.82,305.94," 9,491 ",,,,,,,,,,,
198,RFD,Chicago/Rockford International,Rockford,IL,103.92,126.25," 9,435 ",,,,,,,,,,,
199,STX,Henry E. Rohlsen,Christiansted,VI,375.05,455.64," 8,986 ",,,,,,,,,,,
200,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,310.40,377.11," 8,903 ",,,,,,,,,,,
201,SGU,St George Regional,St. George,UT,278.91,338.85," 7,927 ",,,,,,,,,,,
202,EGE,Eagle County Regional,Eagle,CO,439.44,533.87," 7,923 ",,,,,,,,,,,
203,SAF,Santa Fe Municipal,Santa Fe,NM,311.90,378.93," 7,660 ",,,,,,,,,,,
204,SCE,University Park,State College,PA,290.87,353.37," 7,557 ",,,,,,,,,,,
205,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,409.33,497.29," 7,528 ",,,,,,,,,,,
206,DLH,Duluth International,Duluth,MN,306.71,372.61," 7,375 ",,,,,,,,,,,
207,PBG,Plattsburgh International,Plattsburgh,NY,272.30,330.82," 6,860 ",,,,,,,,,,,
208,LAN,Capital Region International,Lansing,MI,272.79,331.41," 6,720 ",,,,,,,,,,,
209,HDN,Yampa Valley,Hayden,CO,346.63,421.12," 6,709 ",,,,,,,,,,,
210,XWA,Williston Basin International,Williston,ND,442.41,537.48," 6,630 ",,,,,,,,,,,
211,LNK,Lincoln Airport,Lincoln,NE,327.55,397.93," 6,629 ",,,,,,,,,,,
212,USA,Concord Padgett Regional,Concord,NC,95.64,116.19," 6,582 ",,,,,,,,,,,
213,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,150.73,183.12," 6,432 ",,,,,,,,,,,
